accx,accy,accz
-0.0077,0.9867,0.1757
-0.0073,0.9865,0.1759
-0.0073,0.9865,0.1759
-0.0073,0.9865,0.1759
-0.0084,0.9851,0.1774
-0.0064,0.9855,0.1769
-0.0061,0.9853,0.1771
-0.0066,0.9858,0.1767
-0.0061,0.9853,0.1771
-0.0064,0.9855,0.1769
-0.0068,0.986,0.1764
-0.0071,0.9863,0.1762
-0.0068,0.986,0.1764
-0.0061,0.9853,0.1771
-0.0068,0.986,0.1764
-0.0084,0.9851,0.1774
-0.0066,0.9858,0.1767
-0.0064,0.9855,0.1769
-0.0061,0.9853,0.1771
-0.0084,0.9851,0.1774
-0.0071,0.9863,0.1762
-0.0077,0.9867,0.1757
-0.0071,0.9863,0.1762
-0.0073,0.9865,0.1759
-0.0084,0.9851,0.1774
-0.0066,0.9858,0.1767
-0.0073,0.9865,0.1759
-0.0064,0.9855,0.1769
-0.0066,0.9858,0.1767
-0.0066,0.9858,0.1767
-0.0061,0.9853,0.1771
-0.0081,0.9848,0.1777
-0.0084,0.9851,0.1774
-0.0066,0.9858,0.1767
-0.0084,0.9851,0.1774
-0.0064,0.9855,0.1769
-0.0071,0.9863,0.1762
-0.0071,0.9863,0.1762
-0.0066,0.9858,0.1767
-0.0077,0.9867,0.1757
-0.0064,0.9855,0.1769
-0.0066,0.9858,0.1767
-0.0068,0.986,0.1764
-0.0071,0.9863,0.1762
-0.0061,0.9853,0.1771
-0.0068,0.986,0.1764
-0.0066,0.9858,0.1767
-0.0084,0.9851,0.1774
-0.0071,0.9863,0.1762
-0.0064,0.9855,0.1769
-0.0073,0.9865,0.1759
-0.0068,0.986,0.1764
-0.0081,0.9848,0.1777
-0.0061,0.9853,0.1771
-0.0079,0.9846,0.178
-0.0066,0.9858,0.1767
-0.0077,0.9867,0.1757
-0.0066,0.9858,0.1767
-0.0066,0.9858,0.1767
-0.0064,0.9855,0.1769
-0.0066,0.9858,0.1767
-0.0064,0.9855,0.1769
-0.0061,0.9853,0.1771
-0.0073,0.9865,0.1759
-0.0061,0.9853,0.1771
-0.0068,0.986,0.1764
-0.0068,0.986,0.1764
-0.0068,0.986,0.1764
-0.0066,0.9858,0.1767
-0.0084,0.9851,0.1774
-0.0068,0.986,0.1764
-0.0064,0.9855,0.1769
-0.0068,0.986,0.1764
-0.0068,0.986,0.1764
-0.0071,0.9863,0.1762
-0.0068,0.986,0.1764
-0.0061,0.9853,0.1771
-0.0061,0.9853,0.1771
-0.0068,0.986,0.1764
-0.0066,0.9858,0.1767
-0.0073,0.9865,0.1759
-0.0073,0.9865,0.1759
-0.0061,0.9853,0.1771
-0.0071,0.9863,0.1762
-0.0084,0.9851,0.1774
-0.0084,0.9851,0.1774
-0.0071,0.9863,0.1762
-0.0066,0.9858,0.1767
-0.0071,0.9863,0.1762
-0.0066,0.9858,0.1767
-0.0079,0.9846,0.178
-0.0064,0.9855,0.1769
-0.0073,0.9865,0.1759
-0.0084,0.9851,0.1774
-0.0068,0.986,0.1764
-0.0068,0.986,0.1764
-0.0071,0.9863,0.1762
-0.0068,0.986,0.1764
-0.0061,0.9853,0.1771
-0.0084,0.9851,0.1774
-0.0068,0.986,0.1764
-0.0066,0.9858,0.1767
-0.0071,0.9863,0.1762
-0.0084,0.9851,0.1774
-0.0084,0.9851,0.1774
-0.0068,0.986,0.1764
-0.0068,0.986,0.1764
-0.0079,0.9846,0.178
-0.0077,0.9867,0.1757
-0.0073,0.9865,0.1759
-0.0073,0.9865,0.1759
-0.0073,0.9865,0.1759
-0.0061,0.9853,0.1771
-0.0064,0.9855,0.1769
-0.0066,0.9858,0.1767
-0.0071,0.9863,0.1762
-0.0066,0.9858,0.1767
-0.0077,0.9867,0.1757
-0.0064,0.9855,0.1769
-0.0061,0.9853,0.1771
-0.0068,0.986,0.1764
-0.0061,0.9853,0.1771
-0.0068,0.986,0.1764
-0.0077,0.9867,0.1757
-0.0077,0.9867,0.1757
-0.0071,0.9863,0.1762
-0.0073,0.9865,0.1759
-0.0077,0.9867,0.1757
-0.0073,0.9865,0.1759
-0.0064,0.9855,0.1769
-0.0064,0.9855,0.1769
-0.0061,0.9853,0.1771
-0.0064,0.9855,0.1769
-0.0071,0.9863,0.1762
-0.0061,0.9853,0.1523
-0.0061,0.9853,0.1523
-0.0079,0.9846,0.153
-0.0066,0.9858,0.1517
