accx,accy,accz
0.0387,0.9953,-0.1361
0.0385,0.9956,-0.1364
0.0378,0.9939,-0.1347
0.039,0.9951,-0.1359
0.0378,0.9939,-0.1347
0.0387,0.9953,-0.1361
0.0387,0.9953,-0.1361
0.0387,0.9953,-0.1361
0.0378,0.9939,-0.1347
0.0378,0.9939,-0.1347
0.0375,0.9941,-0.135
0.0385,0.9956,-0.1364
0.038,0.9936,-0.1345
0.0378,0.9939,-0.1347
0.0375,0.9941,-0.135
0.0375,0.9941,-0.135
0.0372,0.9944,-0.1352
0.0378,0.9939,-0.1347
0.0375,0.9941,-0.135
0.0375,0.9941,-0.135
0.0375,0.9941,-0.135
0.0378,0.9939,-0.1347
0.0378,0.9939,-0.1347
0.0378,0.9939,-0.1347
0.0375,0.9941,-0.135
0.039,0.9951,-0.1359
0.037,0.9946,-0.1354
0.0372,0.9944,-0.1352
0.0383,0.9934,-0.1342
0.039,0.9951,-0.1359
0.038,0.9936,-0.1345
0.0385,0.9956,-0.1364
0.038,0.9936,-0.1345
0.0385,0.9956,-0.1364
0.0383,0.9934,-0.1342
0.0383,0.9934,-0.1342
0.039,0.9951,-0.1359
0.0372,0.9944,-0.1352
0.039,0.9951,-0.1359
0.0383,0.9934,-0.1342
0.037,0.9946,-0.1354
0.038,0.9936,-0.1345
0.0375,0.9941,-0.135
0.0383,0.9934,-0.1342
0.039,0.9951,-0.1359
0.0385,0.9956,-0.1364
0.0387,0.9953,-0.1361
0.0385,0.9956,-0.1364
0.038,0.9936,-0.1345
0.0378,0.9939,-0.1347
0.0378,0.9939,-0.1347
0.0378,0.9939,-0.1347
0.039,0.9951,-0.1359
0.039,0.9951,-0.1359
0.0383,0.9934,-0.1342
0.0392,0.9948,-0.1357
0.038,0.9936,-0.1345
0.0387,0.9953,-0.1361
0.0378,0.9939,-0.1347
0.0387,0.9953,-0.1361
0.0375,0.9941,-0.135
0.0378,0.9939,-0.1347
0.0383,0.9934,-0.1342
0.0387,0.9953,-0.1361
0.0378,0.9939,-0.1347
0.0385,0.9956,-0.1364
0.0387,0.9953,-0.1361
0.038,0.9936,-0.1345
0.039,0.9951,-0.1359
0.0387,0.9953,-0.1361
0.0392,0.9948,-0.1357
0.0375,0.9941,-0.135
0.038,0.9936,-0.1345
0.0375,0.9941,-0.135
0.0387,0.9953,-0.1361
0.0385,0.9956,-0.1364
0.0383,0.9934,-0.1342
0.039,0.9951,-0.1359
0.038,0.9936,-0.1345
0.0387,0.9953,-0.1361
0.0385,0.9956,-0.1364
0.0387,0.9953,-0.1361
0.0385,0.9956,-0.1364
0.0385,0.9956,-0.1364
0.0375,0.9941,-0.135
0.0383,0.9934,-0.1342
0.038,0.9936,-0.1345
0.0378,0.9939,-0.1347
0.0375,0.9941,-0.135
0.0375,0.9941,-0.135
0.0383,0.9934,-0.1342
0.0387,0.9953,-0.1361
0.0387,0.9953,-0.1361
0.0383,0.9934,-0.1342
0.0375,0.9941,-0.135
0.0387,0.9953,-0.1361
0.0378,0.9939,-0.1347
0.0378,0.9939,-0.1347
0.0378,0.9939,-0.1347
0.0392,0.9948,-0.1357
0.0378,0.9939,-0.1347
0.038,0.9936,-0.1345
0.038,0.9936,-0.1345
0.0383,0.9934,-0.1342
0.0378,0.9939,-0.1347
0.039,0.9951,-0.1359
0.0383,0.9934,-0.1342
0.038,0.9936,-0.1345
0.038,0.9936,-0.1345
0.0378,0.9939,-0.1347
0.0387,0.9953,-0.1361
0.0387,0.9953,-0.1361
0.039,0.9951,-0.1359
0.0383,0.9934,-0.1342
0.0387,0.9953,-0.1361
0.0387,0.9953,-0.1361
0.0383,0.9934,-0.1342
0.037,0.9946,-0.1354
0.0385,0.9956,-0.1364
0.0383,0.9934,-0.1342
0.038,0.9936,-0.1345
0.0385,0.9956,-0.1364
0.0385,0.9956,-0.1364
0.0375,0.9941,-0.135
0.0383,0.9934,-0.1342
0.0385,0.9956,-0.1364
0.0383,0.9934,-0.1342
0.0383,0.9934,-0.1342
0.0387,0.9953,-0.1361
0.0385,0.9956,-0.1364
0.0383,0.9934,-0.1342
0.037,0.9946,-0.1354
0.0387,0.9953,-0.1361
0.0372,0.9944,-0.1352
0.0387,0.9953,-0.1361
0.0385,0.9956,-0.1364
0.0375,0.9941,-0.135
0.039,0.9951,-0.1359
0.0385,0.9956,-0.1364
0.0385,0.9956,-0.1364
0.0385,0.9956,-0.1364
0.0385,0.9956,-0.1364
0.0378,0.9939,-0.1347
0.039,0.9951,-0.1359
0.0383,0.9934,-0.1342
0.0385,0.9956,-0.1364
0.039,0.9951,-0.1359
0.0387,0.9953,-0.1361
0.0387,0.9953,-0.1361
0.0387,0.9953,-0.1361
0.0383,0.9934,-0.1342
0.0378,0.9939,-0.1347
0.0385,0.9956,-0.1364
0.0387,0.9953,-0.1361
0.038,0.9936,-0.1345
0.0378,0.9939,-0.1347
0.0392,0.9948,-0.1357
0.038,0.9936,-0.1345
0.039,0.9951,-0.1359
0.0383,0.9934,-0.1342
0.0385,0.9956,-0.1364
0.0378,0.9939,-0.1347
0.0383,0.9934,-0.1342
0.037,0.9946,-0.1354
0.038,0.9936,-0.1345
0.0378,0.9939,-0.1347
0.0385,0.9956,-0.1364
0.0383,0.9934,-0.1342
0.0383,0.9934,-0.1342
0.0372,0.9944,-0.1352
0.0378,0.9939,-0.1347
0.0383,0.9934,-0.1342
0.039,0.9951,-0.1359
0.0383,0.9934,-0.1342
0.0378,0.9939,-0.1347
0.0375,0.9941,-0.135
0.038,0.9936,-0.1345
0.0372,0.9944,-0.1352
0.0383,0.9934,-0.1342
0.0387,0.9953,-0.1361
0.0383,0.9934,-0.1342
0.0387,0.9953,-0.1361
0.039,0.9951,-0.1359
0.037,0.9946,-0.1354
0.0378,0.9939,-0.1347
0.038,0.9936,-0.1345
0.0378,0.9939,-0.1347
0.0375,0.9941,-0.135
0.0392,0.9948,-0.1357
0.0378,0.9939,-0.1347
0.0387,0.9953,-0.1361
0.039,0.9951,-0.1359
0.0385,0.9956,-0.1364
0.037,0.9946,-0.1354
0.0392,0.9948,-0.1357
0.0385,0.9956,-0.1364
0.0387,0.9953,-0.1361
0.038,0.9936,-0.1345
0.0378,0.9939,-0.1347
0.0385,0.9956,-0.1364
0.0378,0.9939,-0.1347
0.038,0.9936,-0.1345
0.038,0.9936,-0.1345
0.039,0.9951,-0.1359
0.0378,0.9939,-0.1347
0.0383,0.9934,-0.1342
0.0378,0.9939,-0.1347
0.0385,0.9956,-0.1364
0.0387,0.9953,-0.1361
0.0385,0.9956,-0.1364
0.0387,0.9953,-0.1361
0.0378,0.9939,-0.1347
0.039,0.9951,-0.1359
0.0378,0.9939,-0.1347
0.0378,0.9939,-0.1347
0.039,0.9951,-0.1359
0.039,0.9951,-0.1359
0.0387,0.9953,-0.1361
0.0383,0.9934,-0.1342
0.039,0.9951,-0.1359
0.037,0.9946,-0.1354
0.039,0.9951,-0.1359
0.0385,0.9956,-0.1364
0.0375,0.9941,-0.135
0.0375,0.9941,-0.135
0.0385,0.9956,-0.1364
0.0387,0.9953,-0.1361
0.039,0.9951,-0.1359
0.0385,0.9956,-0.1364
0.0387,0.9953,-0.1361
0.0378,0.9939,-0.1347
0.0372,0.9944,-0.1352
0.039,0.9951,-0.1359
0.0392,0.9948,-0.1357
0.0387,0.9953,-0.1361
0.039,0.9951,-0.1359
0.0387,0.9953,-0.1361
0.039,0.9951,-0.1359
0.038,0.9936,-0.1345
0.038,0.9936,-0.1345
0.0375,0.9941,-0.135
0.0383,0.9934,-0.1342
0.0387,0.9953,-0.1361
0.0385,0.9956,-0.1364
0.0372,0.9944,-0.1352
0.0383,0.9934,-0.1342
0.0387,0.9953,-0.1361
0.0392,0.9948,-0.1357
0.0392,0.9948,-0.1357
0.0383,0.9934,-0.1342
0.0385,0.9956,-0.1364
0.0378,0.9939,-0.1347
0.0378,0.9939,-0.1347
0.039,0.9951,-0.1359
0.039,0.9951,-0.1359
0.0385,0.9956,-0.1364
0.0385,0.9956,-0.1364
0.0387,0.9953,-0.1361
0.039,0.9951,-0.1359
0.038,0.9936,-0.1345
0.0378,0.9939,-0.1347
0.0378,0.9939,-0.1347
0.0387,0.9953,-0.1361
0.0387,0.9953,-0.1361
0.0383,0.9934,-0.1342
0.0392,0.9948,-0.1357
0.0387,0.9953,-0.1361
0.0383,0.9934,-0.1342
0.0378,0.9939,-0.1347
0.0378,0.9939,-0.1347
0.0375,0.9941,-0.135
0.0372,0.9944,-0.1352
0.0385,0.9956,-0.1364
0.0385,0.9956,-0.1364
0.0378,0.9939,-0.1347
0.038,0.9936,-0.1345
0.0385,0.9956,-0.1364
0.0392,0.9948,-0.1357
0.0387,0.9953,-0.1361
0.0392,0.9948,-0.1357
0.0378,0.9939,-0.1347
0.0385,0.9956,-0.1364
0.0378,0.9939,-0.1347
0.0372,0.9944,-0.1352
0.0387,0.9953,-0.1361
0.0392,0.9948,-0.1357
0.0372,0.9944,-0.1352
0.0372,0.9944,-0.1352
0.0372,0.9944,-0.1352
0.0392,0.9948,-0.1357
0.039,0.9951,-0.1086
0.0383,0.9934,-0.1063
0.0375,0.9941,-0.1071
0.038,0.9936,-0.1066
0.0378,0.9939,-0.1068
0.0383,0.9934,-0.1063
0.039,0.9951,-0.1081
