accx,accy,accz
0.016,0.1099,1.0028
0.0157,0.1102,1.0024
0.015,0.1109,1.0017
0.016,0.1099,1.0028
0.0187,0.1073,1.0054
0.0182,0.1078,1.0049
0.0165,0.1094,1.0032
0.0153,0.1106,1.002
0.0153,0.1106,1.002
0.0153,0.1106,1.002
0.015,0.1109,1.0017
0.0143,0.1116,1.001
0.0165,0.1094,1.0032
0.0148,0.1111,1.0015
0.0153,0.1106,1.002
0.015,0.1109,1.0017
0.0155,0.1104,1.0022
0.015,0.1109,1.0017
0.0145,0.1114,1.0012
0.0157,0.1102,1.0024
0.015,0.1109,1.0017
0.0153,0.1106,1.002
0.0148,0.1111,1.0015
0.0148,0.1111,1.0015
0.0165,0.1094,1.0032
0.0165,0.1094,1.0032
0.0145,0.1114,1.0012
0.0143,0.1116,1.001
0.0148,0.1111,1.0015
0.0145,0.1114,1.0012
0.015,0.1109,1.0017
0.0145,0.1114,1.0012
0.0153,0.1106,1.002
0.0143,0.1116,1.001
0.0148,0.1111,1.0015
0.016,0.1099,1.0028
0.0155,0.1104,1.0022
0.0148,0.1111,1.0015
0.0153,0.1106,1.002
0.0155,0.1104,1.0022
0.0165,0.1094,1.0032
0.0145,0.1114,1.0012
0.0165,0.1094,1.0032
0.015,0.1109,1.0017
0.0148,0.1111,1.0015
0.0148,0.1111,1.0015
0.0143,0.1116,1.001
0.0155,0.1104,1.0022
0.0148,0.1111,1.0015
0.0165,0.1094,1.0032
0.0148,0.1111,1.0015
0.0165,0.1094,1.0032
0.015,0.1109,1.0017
0.0155,0.1104,1.0022
0.0148,0.1111,1.0015
0.0148,0.1111,1.0015
0.0155,0.1104,1.0022
0.0145,0.1114,1.0012
0.0165,0.1094,1.0032
0.0153,0.1106,1.002
0.0153,0.1106,1.002
0.0157,0.1102,1.0024
0.0145,0.1114,1.0012
0.0157,0.1102,1.0024
0.0153,0.1106,1.002
0.0155,0.1104,1.0022
0.0155,0.1104,1.0022
0.016,0.1099,1.0028
0.0165,0.1094,1.0032
0.0145,0.1114,1.0012
0.016,0.1099,1.0028
0.0157,0.1102,1.0024
0.0157,0.1102,1.0024
0.0155,0.1104,1.0022
0.016,0.1099,1.0028
0.0153,0.1106,1.002
0.0157,0.1102,1.0024
0.016,0.1099,1.0028
0.0153,0.1106,1.002
0.0165,0.1094,1.0032
0.0145,0.1114,1.0012
0.0153,0.1106,1.002
0.016,0.1099,1.0028
0.0157,0.1102,1.0024
0.016,0.1099,1.0028
0.0187,0.1073,1.0054
0.0157,0.1102,1.0024
0.0176,0.1082,1.0044
0.0176,0.1082,1.0044
0.0187,0.1073,1.0054
0.0187,0.1073,1.0054
0.018,0.108,1.0047
0.0153,0.1106,1.002
0.0176,0.1082,1.0044
0.0157,0.1102,1.0024
0.0145,0.1114,1.0012
0.0145,0.1114,1.0012
0.018,0.108,1.0047
0.0165,0.1094,1.0032
0.0153,0.1106,1.002
0.0155,0.1104,1.0022
0.0153,0.1106,1.002
0.0153,0.1106,1.002
0.0157,0.1102,1.0024
0.0176,0.1082,1.0044
0.0165,0.1094,1.0032
0.0187,0.1073,1.0054
0.0167,0.1092,1.0035
0.018,0.108,1.0047
0.018,0.108,1.0047
0.0157,0.1102,1.0024
0.0165,0.1094,1.0032
0.0157,0.1102,1.0024
0.0165,0.1094,1.0032
0.018,0.108,1.0047
0.015,0.1109,1.0017
0.0157,0.1102,1.0024
0.015,0.1109,1.0017
0.0153,0.1106,1.002
0.0157,0.1102,1.0024
0.0185,0.1074,1.0052
0.0165,0.1094,1.0032
0.0165,0.1094,1.0032
0.0157,0.1102,1.0024
0.018,0.108,1.0047
0.0165,0.1094,1.0032
0.0165,0.1094,1.0032
0.0182,0.1078,1.0049
0.0167,0.1092,1.0035
0.0165,0.1094,1.0032
0.016,0.1099,1.0028
0.016,0.1099,1.0028
0.018,0.108,1.0047
0.0187,0.1073,1.0054
0.0153,0.1106,1.002
0.0187,0.1073,1.0054
0.0167,0.1092,1.0035
0.0187,0.1073,1.0054
0.0157,0.1102,1.0024
0.018,0.108,1.0047
0.015,0.1109,1.0017
0.0145,0.1114,1.0012
0.016,0.1099,1.0028
0.0167,0.1092,1.0035
0.0165,0.1094,1.0032
0.0157,0.1102,1.0024
0.015,0.1109,1.0017
0.016,0.1099,1.0028
0.0157,0.1102,1.0024
0.016,0.1099,1.0028
0.018,0.108,1.0047
0.0157,0.1102,1.0024
0.0157,0.1102,1.0024
0.018,0.108,1.0047
0.0165,0.1094,1.0032
0.0185,0.1074,1.0052
0.0157,0.1102,1.0024
0.0165,0.1094,1.0032
0.016,0.1099,1.0028
0.015,0.1109,1.0017
0.0165,0.1094,1.0032
0.0165,0.1094,1.0032
0.0187,0.1073,1.0054
0.018,0.108,1.0047
0.0157,0.1102,1.0024
0.0157,0.1102,1.0024
0.015,0.1109,1.0017
0.018,0.108,1.0047
0.0176,0.1082,1.0044
0.0157,0.1102,1.0024
0.0187,0.1073,1.0054
0.015,0.1109,1.0017
0.0145,0.1114,1.0012
0.0187,0.1073,1.0054
0.018,0.108,1.0047
0.0153,0.1106,1.002
0.016,0.1099,1.0028
0.0157,0.1102,1.0024
0.0165,0.1094,1.0032
0.0187,0.1073,1.0054
0.018,0.108,1.0047
0.0157,0.1102,1.0024
0.0165,0.1094,1.0032
0.0165,0.1094,1.0032
0.015,0.1109,1.0017
0.0155,0.1104,1.0022
0.0157,0.1102,1.0024
0.0157,0.1102,1.0024
0.0157,0.1102,1.0024
0.015,0.1109,1.0017
0.0157,0.1102,1.0024
0.0157,0.1102,1.0024
0.0153,0.1106,1.002
0.015,0.1109,1.0017
0.015,0.1109,1.0017
0.0153,0.1106,1.002
0.016,0.1099,1.0028
0.0155,0.1104,1.0022
0.0145,0.1114,1.0012
0.0148,0.1111,1.0015
0.0148,0.1111,1.0015
0.0153,0.1106,1.002
0.015,0.1109,1.0017
0.0148,0.1111,1.0015
0.016,0.1099,1.0028
0.0145,0.1114,1.0012
0.016,0.1099,1.0028
0.0155,0.1104,1.0022
0.0157,0.1102,1.0024
0.0155,0.1104,1.0022
0.0143,0.1116,1.001
0.0165,0.1094,1.0032
0.0155,0.1104,1.0022
0.0143,0.1116,1.001
0.0155,0.1104,1.0022
0.0165,0.1094,1.0032
0.0145,0.1114,1.0012
0.0153,0.1106,1.002
0.0143,0.1116,1.001
0.0165,0.1094,1.0032
0.0153,0.1106,1.002
0.0143,0.1116,1.001
0.0162,0.1097,1.003
0.0143,0.1116,1.001
0.0143,0.1116,1.001
0.015,0.1109,1.0017
0.0145,0.1114,1.0012
0.015,0.1109,1.0017
0.0153,0.1106,1.002
0.0165,0.1094,1.0032
0.0148,0.1111,1.0015
0.0165,0.1094,1.0032
0.0153,0.1106,1.002
0.0143,0.1116,1.001
0.0148,0.1111,1.0015
0.0153,0.1106,1.002
0.0165,0.1094,1.0032
0.0145,0.1114,1.0012
0.0145,0.1114,1.0012
0.015,0.1109,1.0017
0.015,0.1109,1.0017
0.015,0.1109,1.0017
0.0145,0.1114,1.0012
0.0165,0.1094,1.0032
0.016,0.1099,1.0028
0.015,0.1109,1.0017
0.0165,0.1094,1.0032
0.016,0.1099,1.0028
0.0165,0.1094,1.0032
0.0157,0.1102,1.0024
0.016,0.1099,1.0028
0.0155,0.1104,1.0022
0.0155,0.1104,1.0022
0.016,0.1099,1.0028
0.0165,0.1094,1.0032
0.0153,0.1106,1.002
0.0165,0.1094,1.0032
0.015,0.1109,1.0017
0.0153,0.1106,1.002
0.0148,0.1111,1.0015
0.016,0.1099,1.0028
0.015,0.1109,1.0017
0.0165,0.1094,1.0032
0.015,0.1109,1.0017
0.015,0.1109,1.0017
0.0157,0.1102,1.0024
0.0185,0.1074,1.0052
0.0145,0.1114,1.0012
0.0165,0.1094,1.0032
0.0148,0.1111,1.0015
0.0153,0.1106,1.002
0.0155,0.1104,1.0022
0.0143,0.1116,1.001
0.0153,0.1106,1.002
0.016,0.1099,1.0028
0.0145,0.1114,1.0012
0.015,0.1109,1.0017
0.0157,0.1102,1.0024
0.015,0.1109,1.0017
0.0155,0.1104,1.0022
0.0153,0.1106,1.002
0.0157,0.1102,1.0024
0.015,0.1109,1.0017
0.0157,0.1102,1.0024
0.018,0.108,1.0047
0.0165,0.1094,1.0032
0.0176,0.1082,1.0044
0.015,0.1109,1.0017
0.015,0.1109,1.0017
0.015,0.1109,1.0017
0.0145,0.1114,1.0012
0.0145,0.1114,1.0012
0.018,0.108,1.0047
0.0153,0.1106,1.002
0.016,0.1099,1.0028
0.0165,0.1094,1.0032
0.015,0.1109,1.0017
0.018,0.108,1.0047
0.0157,0.1102,1.0024
0.016,0.1099,1.0028
0.0165,0.1094,1.0032
0.0155,0.1104,1.0022
0.0165,0.1094,1.0032
0.015,0.1109,1.0017
0.018,0.108,1.0047
0.018,0.108,1.0047
0.015,0.1109,1.0017
0.015,0.1109,1.0017
0.015,0.1109,1.0017
0.0153,0.1106,1.002
0.015,0.1109,1.0017
0.0145,0.1114,1.0012
0.0153,0.1106,1.002
0.0148,0.1111,1.0015
0.015,0.1109,1.0017
0.0153,0.1106,1.002
0.016,0.1099,1.0028
0.015,0.1109,1.0017
0.0153,0.1106,1.002
0.015,0.1109,1.0017
0.0153,0.1106,1.002
0.0157,0.1102,1.0024
0.0176,0.1082,1.0044
0.018,0.108,1.0047
0.018,0.108,1.0047
0.0157,0.1102,1.0024
0.0165,0.1094,1.0032
0.0143,0.1116,1.001
0.0153,0.1106,1.002
0.0145,0.1114,1.0012
0.0165,0.1094,1.0032
0.0148,0.1111,1.0015
0.015,0.1109,1.0017
0.0145,0.1114,1.0012
0.0165,0.1094,1.0032
0.0155,0.1104,1.0022
0.0153,0.1106,1.002
0.015,0.1109,1.0017
0.0143,0.1116,1.001
0.0153,0.1106,1.002
0.0155,0.1104,1.0022
0.016,0.1099,1.0028
0.0155,0.1104,1.0022
0.0145,0.1114,1.0012
0.0155,0.1104,1.0022
0.0143,0.1116,1.001
0.0165,0.1094,1.0032
0.015,0.1109,1.0017
0.015,0.1109,1.0017
0.0148,0.1111,1.0015
0.0148,0.1111,1.0015
0.0148,0.1111,1.0015
0.0148,0.1111,1.0015
0.0165,0.1094,1.0032
0.0145,0.1114,1.0012
0.0148,0.1111,1.0015
0.0153,0.1106,1.002
0.0148,0.1111,1.0015
0.0153,0.1106,1.002
0.018,0.108,1.0047
0.0153,0.1106,1.002
0.0153,0.1106,1.002
0.0165,0.1094,1.0032
0.0148,0.1111,1.0015
0.015,0.1109,1.0017
0.0165,0.1094,1.0032
0.015,0.1109,1.0017
0.0155,0.1104,1.0022
0.0148,0.1111,1.0015
0.0153,0.1106,1.002
0.0145,0.1114,1.0012
0.0155,0.1104,1.0022
0.0145,0.1114,1.0012
0.0155,0.1104,1.0022
0.0148,0.1111,1.0015
0.0157,0.1102,1.0024
0.0155,0.1104,1.0022
0.0145,0.1114,1.0012
0.0155,0.1104,1.0022
0.0155,0.1104,1.0022
0.0148,0.1111,1.0015
0.0148,0.1111,1.0015
0.015,0.1109,1.0017
0.0145,0.1114,1.0012
0.015,0.1109,1.0017
0.0153,0.1106,1.002
0.0143,0.1116,1.001
0.0155,0.1104,1.0022
0.0165,0.1094,1.0032
0.0155,0.1104,1.0022
0.0155,0.1104,1.0022
0.0155,0.1104,1.0022
0.0148,0.1111,1.0015
0.0155,0.1104,1.0022
0.0165,0.1094,1.0032
0.015,0.1109,1.0017
0.015,0.1109,1.0017
0.0145,0.1114,1.0012
0.015,0.1109,1.0017
0.0153,0.1106,1.002
0.015,0.1109,1.0017
0.0153,0.1106,1.002
0.016,0.1099,1.0028
0.0145,0.1114,1.0012
