accx,accy,accz
-0.0333,0.1127,0.9956
-0.0326,0.1118,0.9963
-0.0328,0.1121,0.9961
-0.0326,0.1118,0.9963
-0.0326,0.1118,0.9963
-0.032,0.1139,0.9944
-0.0328,0.1121,0.9961
-0.0331,0.1123,0.9959
-0.0333,0.1127,0.9956
-0.0338,0.1131,0.9951
-0.0328,0.1121,0.9961
-0.0333,0.1127,0.9956
-0.0328,0.1121,0.9961
-0.0318,0.1381,0.9947
-0.0318,0.14,0.9947
-0.0328,0.1385,0.9961
-0.0328,0.1385,0.9961
-0.0328,0.1385,0.9961
-0.0326,0.1383,0.9963
-0.0333,0.139,0.9956
-0.0333,0.139,0.9956
-0.0333,0.139,0.9956
-0.0333,0.139,0.9956
-0.034,0.1397,0.9949
-0.0338,0.1395,0.9951
-0.032,0.1402,0.9944
-0.0323,0.1381,0.9966
-0.034,0.1397,0.9949
-0.032,0.1402,0.9944
-0.0328,0.1385,0.9961
-0.0328,0.1385,0.9961
-0.0328,0.1385,0.9961
-0.0328,0.1385,0.9961
-0.0318,0.14,0.9947
-0.034,0.1397,0.9949
-0.0338,0.1395,0.9951
-0.034,0.1397,0.9949
-0.0318,0.14,0.9947
-0.0335,0.1393,0.9954
-0.0333,0.139,0.9956
-0.0328,0.1385,0.9961
-0.0331,0.1388,0.9959
-0.0326,0.1383,0.9963
-0.0326,0.1383,0.9963
-0.0333,0.139,0.9956
-0.0333,0.139,0.9956
-0.0333,0.139,0.9956
-0.0318,0.14,0.9947
-0.0328,0.1385,0.9961
-0.0323,0.1381,0.9966
-0.0333,0.139,0.9956
-0.0323,0.1381,0.9966
-0.0318,0.14,0.9947
-0.0318,0.14,0.9947
-0.0326,0.1383,0.9963
-0.0338,0.1395,0.9951
-0.0338,0.1395,0.9951
-0.0318,0.14,0.9947
-0.0323,0.1381,0.9966
-0.034,0.1397,0.9949
-0.0338,0.1395,0.9951
-0.0323,0.1381,0.9966
-0.0338,0.1395,0.9951
-0.0326,0.1383,0.9963
-0.0326,0.1383,0.9963
-0.0331,0.1388,0.9959
-0.0323,0.1381,0.9966
-0.0328,0.1385,0.9961
-0.0331,0.1388,0.9959
-0.0331,0.1388,0.9959
-0.0318,0.14,0.9947
-0.0326,0.1383,0.9963
-0.0331,0.1388,0.9959
-0.032,0.1402,0.9944
-0.032,0.1402,0.9944
-0.0318,0.14,0.9947
-0.0328,0.1385,0.9961
-0.0333,0.139,0.9956
-0.0318,0.14,0.9947
-0.0318,0.14,0.9947
-0.0328,0.1385,0.9961
-0.0323,0.1381,0.9966
-0.0333,0.139,0.9956
-0.0328,0.1385,0.9961
-0.0323,0.1381,0.9966
-0.0333,0.139,0.9956
-0.0333,0.139,0.9956
-0.0323,0.1381,0.9966
-0.0326,0.1383,0.9963
-0.0323,0.1381,0.9966
-0.0323,0.1381,0.9966
-0.0318,0.14,0.9947
-0.0333,0.139,0.9956
-0.0323,0.1381,0.9966
-0.0323,0.1381,0.9966
-0.0333,0.139,0.9956
-0.0328,0.1385,0.9961
-0.0331,0.1388,0.9959
-0.0323,0.1381,0.9966
-0.0333,0.139,0.9956
-0.0338,0.1395,0.9951
-0.0333,0.139,0.9956
-0.0338,0.1146,0.9951
-0.0323,0.1131,0.9966
-0.0331,0.1139,0.9959
-0.0326,0.1134,0.9963
-0.0323,0.1131,0.9966
-0.0318,0.1151,0.9947
-0.0338,0.1146,0.9951
-0.0326,0.1134,0.9963
-0.0331,0.1139,0.9959
-0.0333,0.1141,0.9956
-0.0323,0.1131,0.9966
-0.0338,0.1146,0.9951
-0.0335,0.1143,0.9954
-0.0331,0.1139,0.9959
-0.0328,0.1136,0.9961
-0.0333,0.1141,0.9956
-0.0323,0.1131,0.9966
-0.0331,0.1139,0.9959
-0.0323,0.1131,0.9966
-0.0338,0.1146,0.9951
-0.0318,0.1151,0.9947
-0.032,0.1153,0.9944
-0.0328,0.1136,0.9961
-0.0338,0.1146,0.9951
-0.0323,0.1131,0.9966
-0.0331,0.1139,0.9959
-0.0331,0.1139,0.9959
-0.0331,0.1139,0.9959
-0.0318,0.1151,0.9947
-0.0328,0.1136,0.9961
-0.0331,0.1139,0.9959
-0.0323,0.1131,0.9966
-0.0338,0.1146,0.9951
-0.0333,0.1141,0.9956
-0.0318,0.1151,0.9947
-0.0333,0.1141,0.9956
-0.0326,0.1134,0.9963
-0.0326,0.1134,0.9963
-0.0318,0.1151,0.9947
-0.0328,0.1136,0.9961
-0.0328,0.1385,0.9961
-0.0318,0.14,0.9947
-0.0328,0.1385,0.9961
-0.0323,0.1381,0.9966
-0.0335,0.1393,0.9954
-0.0328,0.1385,0.9961
-0.0326,0.1383,0.9963
-0.0326,0.1383,0.9963
-0.0318,0.14,0.9947
-0.0328,0.1385,0.9961
-0.0338,0.1395,0.9951
-0.0333,0.139,0.9956
-0.0318,0.14,0.9947
-0.0326,0.1383,0.9963
-0.0338,0.1395,0.9951
-0.0326,0.1383,0.9963
-0.0328,0.1385,0.9961
-0.0318,0.14,0.9947
-0.0326,0.1383,0.9963
-0.0328,0.1385,0.9961
-0.032,0.1402,0.9944
-0.0333,0.139,0.9956
-0.0323,0.1381,0.9966
-0.0333,0.139,0.9956
-0.032,0.1402,0.9944
-0.0328,0.1385,0.9961
-0.032,0.1402,0.9944
-0.0326,0.1383,0.9963
-0.0326,0.1383,0.9963
-0.0328,0.1385,0.9961
-0.034,0.1397,0.9949
-0.032,0.1402,0.9944
-0.0338,0.1395,0.9951
-0.0323,0.1381,0.9966
-0.0333,0.139,0.9956
-0.0318,0.14,0.9947
-0.0318,0.14,0.9947
-0.0333,0.139,0.9956
-0.0318,0.14,0.9947
-0.0333,0.139,0.9956
-0.0333,0.139,0.9956
-0.0323,0.1381,0.9966
-0.0318,0.14,0.9947
-0.0326,0.1383,0.9963
-0.0318,0.14,0.9947
-0.0318,0.14,0.9947
-0.0338,0.1395,0.9951
-0.0326,0.1383,0.9963
-0.0318,0.14,0.9947
-0.0333,0.139,0.9956
-0.0338,0.1395,0.9951
-0.0326,0.1383,0.9963
-0.0328,0.1385,0.9961
-0.0326,0.1383,0.9963
-0.0323,0.1381,0.9966
-0.0331,0.1388,0.9959
-0.0333,0.139,0.9956
-0.0318,0.14,0.9947
-0.0323,0.1381,0.9966
-0.0326,0.1383,0.9963
-0.0333,0.139,0.9956
-0.0328,0.1385,0.9961
-0.0328,0.1385,0.9961
-0.0333,0.139,0.9956
-0.0331,0.1388,0.9959
-0.0333,0.139,0.9956
-0.0326,0.1383,0.9963
-0.0333,0.139,0.9956
-0.0331,0.1388,0.9959
-0.0338,0.1395,0.9951
-0.0338,0.1395,0.9951
-0.0338,0.1395,0.9951
-0.0331,0.1388,0.9959
-0.0338,0.1395,0.9951
-0.0338,0.1395,0.9951
-0.0331,0.1388,0.9959
-0.0326,0.1383,0.9963
-0.0326,0.1383,0.9963
-0.0326,0.1383,0.9963
-0.0326,0.1383,0.9963
-0.0323,0.1381,0.9966
-0.0331,0.1388,0.9959
-0.0323,0.1381,0.9966
-0.0333,0.139,0.9956
-0.0323,0.1381,0.9966
-0.0326,0.1383,0.9963
-0.0331,0.1388,0.9959
-0.0331,0.1388,0.9959
-0.0323,0.1381,0.9966
-0.0323,0.1381,0.9966
-0.0326,0.1383,0.9963
-0.0338,0.1395,0.9951
-0.0323,0.1381,0.9966
-0.0331,0.1388,0.9959
-0.0326,0.1383,0.9963
-0.0331,0.1388,0.9959
-0.0326,0.1383,0.9963
-0.0338,0.1395,0.9951
-0.0338,0.1395,0.9951
-0.0333,0.139,0.9956
-0.0338,0.1395,0.9951
-0.0328,0.1385,0.9961
-0.0326,0.1131,0.9963
-0.0326,0.1134,0.9963
-0.0333,0.1141,0.9956
-0.0323,0.1131,0.9966
-0.0335,0.1143,0.9954
-0.0331,0.1139,0.9959
-0.0338,0.1146,0.9951
-0.0323,0.1131,0.9966
-0.0338,0.1146,0.9951
-0.0323,0.1131,0.9966
-0.032,0.1153,0.9944
-0.0326,0.1134,0.9963
-0.0338,0.1146,0.9951
-0.0338,0.1146,0.9951
-0.0331,0.1139,0.9959
-0.0328,0.1136,0.9961
-0.0331,0.1139,0.9959
-0.0323,0.1131,0.9966
-0.0333,0.1141,0.9956
-0.0331,0.1139,0.9959
-0.0323,0.1131,0.9966
-0.0331,0.1139,0.9959
-0.0323,0.1131,0.9966
-0.0318,0.1151,0.9947
-0.0331,0.1139,0.9959
-0.0326,0.1134,0.9963
-0.0328,0.1136,0.9961
-0.0318,0.1151,0.9947
-0.0318,0.1151,0.9947
-0.0326,0.1134,0.9963
-0.0326,0.1134,0.9963
-0.0323,0.1131,0.9966
-0.0323,0.1131,0.9966
-0.0333,0.1141,0.9956
-0.0333,0.1141,0.9956
-0.032,0.1153,0.9944
-0.0323,0.1131,0.9966
-0.032,0.1153,0.9944
-0.0326,0.1134,0.9963
-0.0323,0.1131,0.9966
-0.0326,0.1134,0.9963
-0.0318,0.1151,0.9947
-0.0331,0.1139,0.9959
-0.0331,0.1139,0.9959
-0.0333,0.1141,0.9956
-0.0333,0.1141,0.9956
-0.0333,0.1141,0.9956
-0.0323,0.1131,0.9966
-0.0323,0.1131,0.9966
-0.0328,0.1136,0.9961
-0.0333,0.1409,0.9956
-0.0333,0.1419,0.9956
-0.0338,0.1425,0.9951
-0.0333,0.1419,0.9956
